scheme,time_ns,time_us,queue_bytes
dcqcn,2000433000,433.0,38776
dcqcn,2000434000,434.0,35632
dcqcn,2000435000,435.0,32488
dcqcn,2000436000,436.0,29344
dcqcn,2000437000,437.0,26200
dcqcn,2000438000,438.0,23056
dcqcn,2000439000,439.0,19912
dcqcn,2000440000,440.0,16768
dcqcn,2000441000,441.0,13624
dcqcn,2000442000,442.0,10480
dcqcn,2000443000,443.0,7336
dcqcn,2000444000,444.0,4192
dcqcn,2000445000,445.0,1048
dcqcn,2000446000,446.0,0
dcqcn,2000447000,447.0,0
dcqcn,2000448000,448.0,0
dcqcn,2000449000,449.0,0
dcqcn,2000450000,450.0,0
dcqcn,2000451000,451.0,0
dcqcn,2000452000,452.0,0
dcqcn,2000453000,453.0,0
dcqcn,2000454000,454.0,0
dcqcn,2000455000,455.0,0
dcqcn,2000456000,456.0,0
dcqcn,2000457000,457.0,0
dcqcn,2000458000,458.0,0
dcqcn,2000459000,459.0,0
dcqcn,2000460000,460.0,0
dcqcn,2000461000,461.0,0
dcqcn,2000462000,462.0,0
dcqcn,2000463000,463.0,0
dcqcn,2000464000,464.0,0
dcqcn,2000465000,465.0,0
dcqcn,2000466000,466.0,0
dcqcn,2000467000,467.0,0
dcqcn,2000468000,468.0,0
dcqcn,2000469000,469.0,0
dcqcn,2000470000,470.0,0
dcqcn,2000471000,471.0,0
dcqcn,2000472000,472.0,0
dcqcn,2000473000,473.0,0
dcqcn,2000474000,474.0,0
dcqcn,2000475000,475.0,0
dcqcn,2000476000,476.0,0
dcqcn,2000477000,477.0,0
dcqcn,2000478000,478.0,0
dcqcn,2000479000,479.0,0
dcqcn,2000480000,480.0,0
dcqcn,2000481000,481.0,0
dcqcn,2000482000,482.0,0
dcqcn,2000483000,483.0,0
dcqcn,2000484000,484.0,0
dcqcn,2000485000,485.0,0
dcqcn,2000486000,486.0,0
dcqcn,2000487000,487.0,0
dcqcn,2000488000,488.0,0
dcqcn,2000489000,489.0,0
dcqcn,2000490000,490.0,0
dcqcn,2000491000,491.0,0
dcqcn,2000492000,492.0,0
dcqcn,2000493000,493.0,0
dcqcn,2000494000,494.0,0
dcqcn,2000495000,495.0,0
dcqcn,2000496000,496.0,0
dcqcn,2000497000,497.0,0
dcqcn,2000498000,498.0,0
dcqcn,2000499000,499.0,0
dcqcn,2000500000,500.0,0
dcqcn,2000501000,501.0,0
dcqcn,2000502000,502.0,0
dcqcn,2000503000,503.0,0
dcqcn,2000504000,504.0,0
dcqcn,2000505000,505.0,0
dcqcn,2000506000,506.0,0
dcqcn,2000507000,507.0,0
dcqcn,2000508000,508.0,0
dcqcn,2000509000,509.0,0
dcqcn,2000510000,510.0,0
dcqcn,2000511000,511.0,0
dcqcn,2000512000,512.0,0
dcqcn,2000513000,513.0,0
dcqcn,2000514000,514.0,0
dcqcn,2000515000,515.0,0
dcqcn,2000516000,516.0,0
dcqcn,2000517000,517.0,0
dcqcn,2000518000,518.0,0
dcqcn,2000519000,519.0,0
dcqcn,2000520000,520.0,0
dcqcn,2000521000,521.0,0
dcqcn,2000522000,522.0,0
dcqcn,2000523000,523.0,0
dcqcn,2000524000,524.0,0
dcqcn,2000525000,525.0,0
dcqcn,2000526000,526.0,0
dcqcn,2000527000,527.0,0
dcqcn,2000528000,528.0,0
dcqcn,2000529000,529.0,0
dcqcn,2000530000,530.0,0
dcqcn,2000531000,531.0,0
dcqcn,2000532000,532.0,0
dcqcn,2000533000,533.0,0
dcqcn,2000534000,534.0,0
dcqcn,2000535000,535.0,0
dcqcn,2000536000,536.0,0
dcqcn,2000537000,537.0,0
dcqcn,2000538000,538.0,0
dcqcn,2000539000,539.0,0
dcqcn,2000540000,540.0,0
dcqcn,2000541000,541.0,0
dcqcn,2000542000,542.0,0
dcqcn,2000543000,543.0,0
dcqcn,2000544000,544.0,0
dcqcn,2000545000,545.0,0
dcqcn,2000546000,546.0,0
dcqcn,2000547000,547.0,0
dcqcn,2000548000,548.0,0
dcqcn,2000549000,549.0,0
dcqcn,2000550000,550.0,0
dcqcn,2000551000,551.0,0
dcqcn,2000552000,552.0,0
dcqcn,2000553000,553.0,0
dcqcn,2000554000,554.0,0
dcqcn,2000555000,555.0,0
dcqcn,2000556000,556.0,0
dcqcn,2000557000,557.0,0
dcqcn,2000558000,558.0,0
dcqcn,2000559000,559.0,0
dcqcn,2000560000,560.0,0
dcqcn,2000561000,561.0,0
dcqcn,2000562000,562.0,0
dcqcn,2000563000,563.0,0
dcqcn,2000564000,564.0,0
dcqcn,2000565000,565.0,0
dcqcn,2000566000,566.0,0
dcqcn,2000567000,567.0,0
dcqcn,2000568000,568.0,0
dcqcn,2000569000,569.0,0
dcqcn,2000570000,570.0,0
dcqcn,2000571000,571.0,0
dcqcn,2000572000,572.0,0
dcqcn,2000573000,573.0,0
dcqcn,2000574000,574.0,0
dcqcn,2000575000,575.0,0
dcqcn,2000576000,576.0,0
dcqcn,2000577000,577.0,0
dcqcn,2000578000,578.0,0
dcqcn,2000579000,579.0,0
dcqcn,2000580000,580.0,0
dcqcn,2000581000,581.0,0
dcqcn,2000582000,582.0,0
dcqcn,2000583000,583.0,0
dcqcn,2000584000,584.0,0
dcqcn,2000585000,585.0,0
dcqcn,2000586000,586.0,0
dcqcn,2000587000,587.0,0
dcqcn,2000588000,588.0,0
dcqcn,2000589000,589.0,0
dcqcn,2000590000,590.0,0
dcqcn,2000591000,591.0,0
dcqcn,2000592000,592.0,0
dcqcn,2000593000,593.0,0
dcqcn,2000594000,594.0,0
dcqcn,2000595000,595.0,0
dcqcn,2000596000,596.0,0
dcqcn,2000597000,597.0,0
dcqcn,2000598000,598.0,0
dcqcn,2000599000,599.0,0
dcqcn,2000600000,600.0,0
dcqcn,2000601000,601.0,0
dcqcn,2000602000,602.0,0
dcqcn,2000603000,603.0,0
dcqcn,2000604000,604.0,0
dcqcn,2000605000,605.0,0
dcqcn,2000606000,606.0,0
dcqcn,2000607000,607.0,0
dcqcn,2000608000,608.0,0
dcqcn,2000609000,609.0,0
dcqcn,2000610000,610.0,0
dcqcn,2000611000,611.0,0
dcqcn,2000612000,612.0,0
dcqcn,2000613000,613.0,0
dcqcn,2000614000,614.0,0
dcqcn,2000615000,615.0,0
dcqcn,2000616000,616.0,0
dcqcn,2000617000,617.0,0
dcqcn,2000618000,618.0,0
dcqcn,2000619000,619.0,0
dcqcn,2000620000,620.0,0
dcqcn,2000621000,621.0,0
dcqcn,2000622000,622.0,0
dcqcn,2000623000,623.0,0
dcqcn,2000624000,624.0,0
dcqcn,2000625000,625.0,0
dcqcn,2000626000,626.0,0
dcqcn,2000627000,627.0,0
dcqcn,2000628000,628.0,0
dcqcn,2000629000,629.0,0
dcqcn,2000630000,630.0,0
dcqcn,2000631000,631.0,0
dcqcn,2000632000,632.0,0
dcqcn,2000633000,633.0,0
dcqcn,2000634000,634.0,0
dcqcn,2000635000,635.0,0
dcqcn,2000636000,636.0,0
dcqcn,2000637000,637.0,0
dcqcn,2000638000,638.0,0
dcqcn,2000639000,639.0,0
dcqcn,2000640000,640.0,0
dcqcn,2000641000,641.0,0
dcqcn,2000642000,642.0,0
dcqcn,2000643000,643.0,0
dcqcn,2000644000,644.0,0
dcqcn,2000645000,645.0,0
dcqcn,2000646000,646.0,0
dcqcn,2000647000,647.0,0
dcqcn,2000648000,648.0,0
dcqcn,2000649000,649.0,0
dcqcn,2000650000,650.0,0
dcqcn,2000651000,651.0,0
dcqcn,2000652000,652.0,0
dcqcn,2000653000,653.0,0
dcqcn,2000654000,654.0,0
dcqcn,2000655000,655.0,0
dcqcn,2000656000,656.0,0
dcqcn,2000657000,657.0,0
dcqcn,2000658000,658.0,0
dcqcn,2000659000,659.0,0
dcqcn,2000660000,660.0,0
dcqcn,2000661000,661.0,0
dcqcn,2000662000,662.0,0
dcqcn,2000663000,663.0,0
dcqcn,2000664000,664.0,0
dcqcn,2000665000,665.0,0
dcqcn,2000666000,666.0,0
dcqcn,2000667000,667.0,0
dcqcn,2000668000,668.0,0
dcqcn,2000669000,669.0,0
dcqcn,2000670000,670.0,0
dcqcn,2000671000,671.0,0
dcqcn,2000672000,672.0,0
dcqcn,2000673000,673.0,0
dcqcn,2000674000,674.0,0
dcqcn,2000675000,675.0,0
dcqcn,2000676000,676.0,0
dcqcn,2000677000,677.0,0
dcqcn,2000678000,678.0,0
dcqcn,2000679000,679.0,0
dcqcn,2000680000,680.0,0
dcqcn,2000681000,681.0,0
dcqcn,2000682000,682.0,0
dcqcn,2000683000,683.0,0
dcqcn,2000684000,684.0,0
dcqcn,2000685000,685.0,0
dcqcn,2000686000,686.0,0
dcqcn,2000687000,687.0,0
dcqcn,2000688000,688.0,0
dcqcn,2000689000,689.0,0
dcqcn,2000690000,690.0,0
dcqcn,2000691000,691.0,0
dcqcn,2000692000,692.0,0
dcqcn,2000693000,693.0,0
dcqcn,2000694000,694.0,0
dcqcn,2000695000,695.0,0
dcqcn,2000696000,696.0,0
dcqcn,2000697000,697.0,0
dcqcn,2000698000,698.0,0
dcqcn,2000699000,699.0,0
dcqcn,2000700000,700.0,0
dcqcn,2000701000,701.0,0
dcqcn,2000702000,702.0,0
dcqcn,2000703000,703.0,0
dcqcn,2000704000,704.0,0
dcqcn,2000705000,705.0,0
dcqcn,2000706000,706.0,0
dcqcn,2000707000,707.0,0
dcqcn,2000708000,708.0,0
dcqcn,2000709000,709.0,0
dcqcn,2000710000,710.0,0
dcqcn,2000711000,711.0,0
dcqcn,2000712000,712.0,0
dcqcn,2000713000,713.0,0
dcqcn,2000714000,714.0,0
dcqcn,2000715000,715.0,0
dcqcn,2000716000,716.0,0
dcqcn,2000717000,717.0,0
dcqcn,2000718000,718.0,0
dcqcn,2000719000,719.0,0
dcqcn,2000720000,720.0,0
dcqcn,2000721000,721.0,0
dcqcn,2000722000,722.0,0
dcqcn,2000723000,723.0,0
dcqcn,2000724000,724.0,0
dcqcn,2000725000,725.0,0
dcqcn,2000726000,726.0,0
dcqcn,2000727000,727.0,0
dcqcn,2000728000,728.0,0
dcqcn,2000729000,729.0,0
dcqcn,2000730000,730.0,0
dcqcn,2000731000,731.0,0
dcqcn,2000732000,732.0,0
dcqcn,2000733000,733.0,0
dcqcn,2000734000,734.0,0
dcqcn,2000735000,735.0,0
dcqcn,2000736000,736.0,0
dcqcn,2000737000,737.0,0
dcqcn,2000738000,738.0,0
dcqcn,2000739000,739.0,0
dcqcn,2000740000,740.0,0
dcqcn,2000741000,741.0,0
dcqcn,2000742000,742.0,0
dcqcn,2000743000,743.0,0
dcqcn,2000744000,744.0,0
dcqcn,2000745000,745.0,0
dcqcn,2000746000,746.0,0
dcqcn,2000747000,747.0,0
dcqcn,2000748000,748.0,0
dcqcn,2000749000,749.0,0
dcqcn,2000750000,750.0,0
dcqcn,2000751000,751.0,0
dcqcn,2000752000,752.0,0
dcqcn,2000753000,753.0,0
dcqcn,2000754000,754.0,0
dcqcn,2000755000,755.0,0
dcqcn,2000756000,756.0,0
dcqcn,2000757000,757.0,0
dcqcn,2000758000,758.0,0
dcqcn,2000759000,759.0,0
dcqcn,2000760000,760.0,0
dcqcn,2000761000,761.0,0
dcqcn,2000762000,762.0,0
dcqcn,2000763000,763.0,0
dcqcn,2000764000,764.0,0
dcqcn,2000765000,765.0,0
dcqcn,2000766000,766.0,0
dcqcn,2000767000,767.0,0
dcqcn,2000768000,768.0,0
dcqcn,2000769000,769.0,0
dcqcn,2000770000,770.0,0
dcqcn,2000771000,771.0,0
dcqcn,2000772000,772.0,0
dcqcn,2000773000,773.0,0
dcqcn,2000774000,774.0,0
dcqcn,2000775000,775.0,0
dcqcn,2000776000,776.0,0
dcqcn,2000777000,777.0,0
dcqcn,2000778000,778.0,0
dcqcn,2000779000,779.0,0
dcqcn,2000780000,780.0,0
dcqcn,2000781000,781.0,0
dcqcn,2000782000,782.0,0
dcqcn,2000783000,783.0,1048
dcqcn,2000784000,784.0,1048
dcqcn,2000785000,785.0,3144
