time_ns,max_queue_bytes,max_total_buffer_bytes
2002418000,1048,1048
2002419000,144,240
2002420000,1144,1144
2002421000,1192,1192
2002424000,72,72
2002427000,96,96
2002429000,1048,1048
2002430000,2432,2432
2002431000,2096,3240
2002432000,1048,1048
2002433000,2336,3480
2002434000,3384,3384
2002435000,1048,1192
2002436000,72,72
2002437000,560,560
2002438000,1048,1192
2002439000,2336,2336
2002440000,2096,2096
2002441000,2336,2480
2002442000,1120,1120
2002444000,144,144
2002448000,96,96
2002454000,144,144
2002456000,3144,3144
2002457000,5240,7016
2002458000,6528,6528
2002459000,8720,8792
2002460000,9528,9528
2002461000,8424,8424
2002462000,5280,5280
2002463000,2600,2600
2002470000,1048,1048
2002471000,1048,1120
2002472000,96,168
2002473000,72,72
2002483000,240,240
2002489000,2336,2408
2002499000,1048,1048
2002502000,5240,5240
2002503000,11528,11600
2002504000,18864,18864
2002505000,25248,25248
2002506000,29440,29440
2002507000,35728,35728
2002508000,42016,42016
2002509000,48864,48864
2002510000,57248,57248
2002511000,66680,66680
2002512000,76208,76352
2002513000,84496,84496
2002514000,93928,93928
2002515000,102312,102312
2002516000,110696,110696
2002517000,118032,119080
2002518000,124320,124320
2002519000,130608,131656
2002520000,137944,139088
2002521000,143280,144328
2002522000,150712,150952
2002523000,158536,158536
2002524000,166920,166920
2002525000,174816,174816
2002526000,181688,181688
2002527000,187024,187024
2002528000,192360,192360
2002529000,193992,193992
2002530000,193992,193992
2002531000,193992,194064
2002532000,192480,192480
2002533000,191528,191528
2002534000,188384,188384
2002535000,185144,185144
2002536000,183680,183680
2002537000,182632,182632
2002538000,179584,179728
2002539000,176440,176440
2002540000,174344,174344
2002541000,171200,171200
2002542000,168056,168056
2002543000,164912,164984
2002544000,161768,161768
2002545000,158624,158624
2002546000,155480,155480
2002547000,153384,153384
2002548000,150240,150240
2002549000,147096,147096
2002550000,144512,144512
2002551000,141368,141368
2002552000,138224,138224
2002553000,135080,135080
2002554000,131936,131936
2002555000,128792,128936
2002556000,125648,125648
2002557000,122504,122504
2002558000,120968,120968
2002559000,118968,118968
2002560000,115824,115824
2002561000,112680,114848
2002562000,110096,112192
2002563000,106952,107192
2002564000,103808,103808
2002565000,100664,100664
2002566000,97520,97520
2002567000,94376,94376
2002568000,91136,92184
2002569000,87992,91136
2002570000,85896,92816
2002571000,82752,93344
2002572000,79512,88664
2002573000,76368,82376
2002574000,73224,75656
2002575000,70080,70320
2002576000,66936,66936
2002577000,63792,63792
2002578000,60648,60648
2002579000,57992,57992
2002580000,54848,54848
2002581000,51704,51704
2002582000,48560,48560
2002583000,45416,45416
2002584000,42736,42736
2002585000,39592,39592
2002586000,36448,36448
2002587000,32744,32744
2002588000,30064,30064
2002589000,26920,26920
2002590000,24800,24896
2002591000,23168,23168
2002592000,20096,21384
2002593000,16952,17384
2002594000,13808,13808
2002595000,11128,11128
2002596000,7256,7352
2002597000,3944,3944
2002598000,1192,1192
2002600000,2192,2192
2002601000,2096,2096
2002602000,3456,3456
2002603000,240,240
